"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
5,2,5,2,4,3,4,3,5,3
6,5,5,5,5,5,5,5,5,5
7,3,1,4,1,1,5,3,1,3
8,4,1,5,3,4,4,4,4,1
10,4,2,4,3,1,2,2,3,4
11,3,4,2,5,3,3,5,3,5
12,4,5,4,2,4,5,5,5,3
13,3,3,2,2,3,3,2,3,3
14,4,4,4,3,3,4,3,3,4
15,4,2,4,1,3,4,2,2,3
16,2,4,4,3,3,3,4,3,3
17,4,4,5,4,3,4,3,3,3
18,3,2,4,4,2,5,4,3,4
19,2,3,3,3,2,3,2,2,2
20,4,2,4,4,4,4,5,5,4
21,1,4,5,4,3,5,1,1,2
22,4,4,4,4,4,4,4,5,4
23,2,3,3,4,3,4,4,2,3
24,4,5,5,5,2,5,5,5,5
25,3,3,3,4,4,3,3,4,2
26,5,5,5,5,4,5,5,5,4
27,4,3,2,4,4,5,2,3,5
28,4,5,5,2,5,5,4,5,5
29,4,5,5,3,4,3,4,1,5
30,3,2,3,2,3,3,3,4,3
31,3,1,5,4,3,3,5,5,1
32,4,2,4,4,2,4,4,4,4
34,2,3,4,4,2,3,3,3,3
35,3,3,4,4,2,3,4,4,2
36,4,2,5,3,2,4,4,4,3
37,3,4,5,4,3,2,3,5,5
38,4,4,3,3,3,2,4,4,4
39,1,1,5,4,2,4,4,3,1
40,3,4,3,4,3,4,3,2,3
41,4,4,4,3,5,5,3,4,5
42,3,3,4,3,4,3,4,5,2
43,4,4,3,5,2,4,4,3,2
44,3,3,4,3,4,4,4,3,3
45,5,5,5,4,5,5,4,4,5
46,4,4,4,5,4,3,3,2,3
47,4,4,4,3,5,4,4,4,4
49,4,2,5,5,2,3,5,5,2
50,4,3,5,4,5,4,4,5,5
51,2,4,5,4,3,4,3,4,3
52,3,5,2,5,5,4,5,5,3
53,4,1,3,4,1,2,5,1,1
54,5,3,2,4,4,5,5,4,2
56,3,2,4,3,2,4,2,2,2
57,4,5,5,4,5,5,4,5,4
58,3,1,3,5,3,4,3,3,3
59,5,5,4,5,4,5,4,5,4
60,4,4,4,5,5,5,4,2,2
61,3,2,4,4,2,3,4,3,3
62,3,5,3,3,3,2,2,4,2
63,3,4,5,2,2,4,5,3,4
65,4,3,1,3,2,1,2,3,1
66,4,4,4,4,4,4,5,4,4
67,4,5,4,4,4,4,4,4,4
68,4,2,3,3,2,2,4,3,2
70,5,4,5,4,5,4,5,4,4
71,3,4,2,2,2,3,5,5,3
72,3,3,4,4,4,5,5,4,3
73,4,5,5,4,5,4,5,5,2
74,4,5,3,3,4,5,4,5,2
75,4,4,4,5,5,3,3,4,4
76,3,2,2,3,4,5,2,3,2
77,4,4,5,3,3,4,4,5,4
78,5,5,1,5,5,5,5,5,3
79,4,2,3,3,2,2,5,2,2
80,4,4,3,4,4,4,5,3,4
81,5,3,3,4,4,4,4,4,3
82,3,2,4,4,2,3,4,3,3
83,5,5,5,5,3,5,4,5,2
84,4,4,4,4,4,4,4,4,4
85,4,5,3,2,5,5,4,4,4
87,3,5,5,4,2,4,4,3,5
88,4,4,4,3,5,4,3,5,3
90,3,3,4,5,4,5,4,4,3
91,5,5,5,4,4,4,4,4,5
92,2,3,3,2,3,3,3,3,3
94,4,4,5,3,5,4,2,4,4
95,5,2,2,3,1,3,4,2,2
96,4,1,4,2,3,4,3,3,3
98,3,3,4,4,5,4,3,4,5
99,4,5,3,4,4,5,3,4,4
100,3,2,5,4,5,5,3,2,3
101,4,4,5,4,4,3,4,4,3
102,3,4,4,5,4,5,3,3,3
103,3,3,3,3,3,3,3,3,3
104,2,3,4,3,3,5,2,4,3
105,2,2,5,3,3,4,3,4,3
106,4,5,4,5,4,4,5,4,4
107,2,5,2,5,5,5,3,3,5
108,3,3,3,3,3,4,5,3,3
109,3,3,3,3,3,3,3,3,3
110,3,3,4,3,4,5,4,3,3
111,4,3,5,5,2,4,5,3,3
112,2,1,5,3,1,2,3,2,1
113,4,5,4,2,4,4,3,3,2
114,4,3,3,4,4,3,3,4,3
115,2,2,3,3,1,2,3,1,1
116,5,4,3,5,2,3,4,3,3
117,5,5,5,5,5,5,5,5,5
118,5,1,2,5,1,1,5,2,1
119,3,3,4,3,3,3,4,4,4
120,3,3,3,3,3,3,3,1,1
121,5,5,4,3,5,5,5,5,5
122,3,1,5,5,4,5,5,3,5
123,2,3,5,2,2,4,3,4,3
125,4,2,3,4,3,3,3,4,2
126,2,5,5,3,1,5,4,5,4
128,1,3,5,4,3,3,5,5,5
129,3,2,4,5,4,5,3,2,3
130,3,3,5,3,1,4,4,3,2
131,3,2,5,1,5,5,1,4,3
132,4,3,4,4,3,4,3,3,4
133,5,3,4,4,2,4,3,1,2
134,4,4,4,4,4,3,4,4,4
135,4,2,3,4,3,4,4,3,3
136,5,3,3,5,4,5,5,3,3
140,4,4,4,3,5,4,3,3,3
141,4,4,5,4,4,5,5,4,4
142,4,3,5,2,3,4,3,1,4
143,4,2,2,2,3,4,4,4,4
144,3,4,3,5,3,3,5,2,3
145,2,3,4,4,3,4,4,5,3
146,2,3,4,2,2,4,4,3,4
147,5,3,5,5,4,5,4,5,5
148,3,4,3,4,2,4,5,5,4
149,4,4,4,3,4,4,4,4,4
150,3,2,3,3,3,2,4,5,3
151,4,4,4,4,4,4,4,3,4
152,3,5,2,4,5,5,3,4,4
153,2,4,3,4,3,4,3,3,2
155,3,3,3,4,3,3,4,3,3
156,3,3,5,2,3,4,5,3,3
157,4,3,5,4,4,5,5,5,4
158,4,2,3,4,2,5,3,4,3
159,2,3,3,3,2,3,2,2,3
160,3,5,4,3,4,4,4,3,4
161,4,4,4,3,3,3,3,3,3
163,2,3,4,2,2,4,4,3,4
165,3,2,4,2,3,5,2,2,3
166,4,5,5,5,4,4,3,4,5
167,2,4,4,4,3,4,3,2,2
168,5,4,5,5,3,2,5,5,3
169,1,2,2,3,2,4,1,2,3
170,4,2,2,2,1,4,3,2,3
171,3,2,2,4,2,3,5,4,3
172,5,3,3,5,2,4,4,4,4
174,5,2,2,3,3,2,4,3,5
175,4,4,4,3,4,5,5,4,4
176,3,3,3,3,2,4,3,3,3
177,5,4,5,5,4,5,4,4,4
179,4,5,3,3,3,2,3,2,2
180,4,1,5,4,4,3,5,3,4
181,4,3,4,5,3,3,4,3,4
182,4,3,3,3,4,5,3,2,4
183,3,4,4,3,3,4,4,4,4
185,4,2,2,4,1,3,3,2,4
187,4,4,4,3,4,4,4,3,3
188,3,3,3,3,3,3,3,3,3
189,5,5,4,5,2,5,5,4,2
190,3,3,2,5,1,2,2,3,2
191,2,3,5,5,4,4,5,3,4
194,3,5,5,4,4,4,5,3,2
195,3,5,5,4,2,4,4,3,2
196,2,3,3,3,2,3,2,1,1
197,4,2,4,4,1,4,2,2,1
198,4,3,5,4,2,3,5,5,4
199,3,2,4,3,3,3,4,2,3
201,3,2,4,3,2,3,4,2,3
202,3,3,4,4,4,3,3,4,3
203,2,3,4,1,4,5,3,5,3
204,4,5,4,4,3,4,4,4,4
205,4,4,5,5,3,5,5,4,2
207,2,4,3,4,4,4,4,4,4
208,3,5,5,4,4,3,5,5,3
209,4,2,5,4,4,4,3,5,4
211,4,4,4,3,4,5,3,4,4
212,3,3,5,3,4,5,5,4,3
213,4,4,5,5,4,5,4,4,4
214,3,5,4,4,3,4,3,3,3
216,5,4,5,5,3,5,5,5,3
218,5,2,3,5,2,5,5,4,4
219,2,3,4,2,2,4,4,2,2
220,2,4,4,2,4,5,3,3,4
223,5,5,5,5,4,5,5,5,4
224,3,4,3,4,3,4,4,3,3
225,3,3,5,5,5,5,2,3,5
226,4,5,5,5,5,5,5,5,5
