"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
5,4,5,2,3,5,5,3,3,4
6,5,5,5,5,5,5,5,5,5
7,3,1,4,1,5,5,5,1,3
8,4,1,5,3,3,5,4,4,1
10,3,5,3,4,5,4,2,4,2
11,4,3,3,3,5,3,3,1,5
12,4,5,4,2,4,5,5,4,3
13,3,2,1,2,5,3,4,1,3
14,4,3,4,4,5,5,4,4,3
15,3,3,3,3,2,2,4,3,3
16,2,4,4,3,3,3,4,3,3
17,3,4,3,3,5,5,5,4,2
18,4,3,3,3,5,3,2,3,5
19,2,2,2,2,2,2,1,2,3
20,1,3,4,1,5,5,3,5,5
21,1,4,5,4,3,5,1,1,1
22,4,4,4,5,4,4,4,5,4
23,5,3,1,1,3,5,5,5,3
24,5,5,5,5,3,5,5,5,5
25,2,5,4,4,5,3,3,2,4
26,4,4,5,3,3,5,5,4,3
27,3,5,2,4,5,5,2,5,5
28,4,5,5,2,5,5,1,5,5
29,3,3,5,3,2,3,5,1,5
30,3,3,3,3,3,3,3,3,3
31,3,1,5,4,3,3,5,5,1
32,2,4,4,2,3,4,4,4,3
34,3,2,3,2,3,5,3,3,4
35,1,3,4,1,3,5,1,1,4
36,4,2,5,3,2,4,4,3,3
37,1,3,5,1,3,4,5,5,5
38,3,3,4,3,4,3,4,3,4
39,1,1,4,1,5,5,3,4,1
40,4,3,2,2,3,3,3,4,3
41,3,5,5,4,5,5,3,4,4
42,5,2,3,5,4,3,4,4,3
43,4,4,4,5,2,4,4,3,2
44,3,4,4,4,4,4,4,4,4
45,4,4,5,4,5,5,4,5,5
46,4,4,3,4,3,3,3,2,3
47,5,4,5,4,5,4,4,4,5
49,4,1,3,2,2,3,5,3,1
50,4,4,3,2,5,5,4,5,5
51,3,4,3,4,4,4,3,4,4
52,4,5,3,4,4,4,5,5,3
53,4,1,1,3,1,2,5,1,1
54,4,5,5,3,5,5,5,5,5
56,3,1,1,2,5,5,4,4,2
57,4,5,5,4,5,5,4,5,4
58,3,1,4,2,4,5,3,3,3
59,4,4,4,5,5,5,4,4,5
60,3,2,4,4,4,4,2,4,2
61,4,3,3,1,3,5,3,3,3
62,2,5,4,2,3,3,4,4,3
63,4,2,5,4,4,5,5,5,3
65,4,2,5,1,5,5,5,4,4
66,4,4,4,4,4,4,5,4,4
67,4,4,4,4,4,4,5,4,4
68,2,2,3,2,2,2,3,3,2
70,4,4,5,4,5,4,5,4,4
71,3,3,2,2,2,3,5,5,3
72,3,3,4,4,3,5,3,4,2
73,4,5,5,4,5,4,5,4,1
74,4,3,4,4,3,4,5,5,4
75,3,2,5,4,3,4,4,5,4
76,5,5,5,1,5,5,5,5,5
77,4,4,5,3,4,4,4,4,5
78,5,1,1,5,5,5,5,5,5
79,3,2,2,1,4,5,3,4,2
80,4,5,5,4,5,5,3,4,5
81,2,4,2,1,5,5,4,5,5
82,4,3,4,4,5,4,5,4,4
83,5,5,4,5,3,3,5,5,2
84,4,4,4,4,4,4,4,4,4
85,5,5,5,2,5,5,4,5,4
87,3,5,5,4,4,4,4,3,5
88,3,4,5,4,5,4,3,5,4
90,4,4,4,3,3,4,3,4,3
91,5,4,4,5,4,4,1,4,4
92,3,3,2,4,4,3,3,3,4
94,4,4,4,3,4,4,4,4,3
95,4,4,4,3,4,2,3,4,2
96,3,2,4,3,4,5,4,4,4
98,4,5,4,3,5,5,5,4,4
99,3,5,4,5,4,5,4,5,4
100,1,5,5,4,5,5,5,4,2
101,5,4,4,3,5,5,5,5,3
102,3,5,2,5,5,5,2,3,4
103,3,3,3,4,5,4,4,4,4
104,5,5,2,2,5,5,4,4,4
105,5,2,4,2,4,5,4,5,2
106,5,5,5,4,5,5,5,5,5
107,2,5,3,5,5,5,3,3,5
108,5,5,5,5,5,5,5,5,5
109,3,3,3,3,3,3,3,3,3
110,3,3,4,4,5,5,3,3,3
111,3,2,2,3,5,5,5,3,1
112,5,1,3,2,1,5,5,1,2
113,4,3,3,5,2,5,2,5,1
114,4,5,3,2,5,5,4,5,5
115,2,2,2,3,1,2,3,1,1
116,5,2,3,4,2,3,4,3,3
117,3,3,3,3,3,3,3,3,3
118,5,1,2,5,1,1,5,2,1
119,4,3,4,3,4,4,4,4,4
120,4,4,4,2,4,4,1,4,4
121,4,5,4,4,5,5,5,5,5
122,5,5,3,5,5,5,5,5,5
123,4,4,4,4,3,5,4,3,4
125,5,5,4,4,5,5,5,5,4
126,4,2,3,1,1,5,5,5,4
128,1,2,5,4,3,3,5,4,5
129,4,4,5,5,5,5,4,5,5
130,2,3,4,1,5,5,4,3,3
131,5,2,5,1,5,5,1,3,2
132,4,3,4,4,3,4,3,3,4
133,4,5,4,2,2,5,4,1,2
134,3,5,4,5,4,4,4,4,4
135,4,2,3,2,3,4,3,4,2
136,1,3,2,1,5,5,2,4,3
140,4,4,3,3,3,3,3,3,2
141,4,3,4,3,5,5,5,5,4
142,2,4,5,4,3,4,3,1,4
