"userid","mood","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
5,"encouraged",0,1,0,0,0,0,1,0,0
5,"inspired",1,1,0,1,1,0,0,1,0
5,"smooth",1,1,1,1,1,0,0,1,1
6,"peaceful",0,0,0,0,0,0,1,0,0
6,"tragic",0,0,0,0,0,0,0,0,0
7,"angry",0,0,0,1,0,1,0,1,0
7,"intense",0,0,1,0,1,0,0,0,0
7,"sentimental",0,0,0,0,0,1,0,0,0
7,"sexual",0,0,1,0,0,0,0,0,0
8,"angry",0,1,0,0,0,1,0,1,0
8,"bitchy",0,0,0,0,0,1,0,0,0
8,"bored",0,1,0,0,0,0,0,1,0
8,"celebratory",0,0,1,0,0,0,0,0,0
8,"cool",0,0,1,0,0,0,0,0,0
8,"dancing",0,0,1,0,1,1,0,0,0
8,"deep",1,1,0,0,0,0,0,0,0
8,"dreamy",1,0,1,0,0,0,0,0,0
8,"driving",0,0,0,0,1,0,0,0,0
8,"encouraged",0,0,0,0,0,1,0,0,1
8,"energetic",0,1,0,0,0,0,0,0,0
8,"epic",0,0,0,0,1,1,0,0,0
8,"euphoric",0,0,0,0,0,0,0,1,0
8,"fast",0,0,0,0,0,0,1,0,0
8,"festive",1,0,0,0,0,0,0,0,0
8,"friendly",1,0,0,0,0,1,0,0,1
8,"fun",0,0,0,0,0,1,0,0,0
8,"funny",0,0,0,0,0,1,0,0,0
8,"good",0,1,1,0,0,1,0,0,0
8,"happy",0,0,1,0,0,0,0,0,0
8,"in_love",0,0,0,0,0,1,0,0,0
8,"inspired",0,0,0,1,0,1,0,0,0
8,"jumpy",0,0,0,0,0,0,0,0,1
8,"liberated",0,0,0,0,0,1,0,0,1
8,"light_hearted",0,0,0,0,0,1,0,0,0
8,"liked",0,1,0,0,0,0,0,0,0
8,"motivational",1,0,0,0,0,0,0,0,0
8,"nocturnal",0,0,0,0,0,1,0,0,0
8,"passionate",1,0,0,0,0,0,0,0,0
8,"pleasant",0,0,1,0,0,0,0,0,0
8,"positive",0,0,0,1,0,0,0,0,0
8,"religious",0,1,0,0,0,1,0,0,1
8,"satisfied",0,0,1,0,0,0,0,0,0
8,"sensual",0,0,0,0,0,1,0,0,0
8,"severe",1,1,0,0,0,0,0,0,0
8,"sexual",0,0,0,0,0,1,0,0,0
8,"slow",0,1,0,0,0,0,0,1,0
8,"sorry",0,1,0,0,0,0,0,0,0
8,"successful",0,0,0,0,0,0,1,0,0
8,"tragic",0,1,0,0,0,0,0,0,0
8,"tranquil",0,0,0,0,0,0,0,1,0
8,"uplifting",0,0,0,0,0,0,0,0,1
10,"deep",1,1,1,0,0,1,1,0,0
10,"energetic",0,1,1,0,0,0,0,0,0
10,"fast",0,0,0,0,1,0,0,0,0
10,"tranquil",0,0,0,0,0,0,0,0,0
11,"bitchy",0,0,0,0,0,0,0,1,0
11,"deep",0,0,0,0,0,1,1,1,0
11,"dreamy",0,0,0,0,0,1,0,0,0
11,"easy",0,1,0,0,0,0,0,0,0
11,"happy",0,0,0,0,0,0,0,1,0
11,"interested",0,0,1,0,0,0,0,0,0
11,"jumpy",0,0,0,1,0,0,0,0,0
11,"pleasant",0,0,0,0,0,0,0,0,1
11,"spiritual",0,0,1,0,0,0,0,0,0
11,"strong",1,0,0,0,0,0,0,0,0
12,"aggressive",1,0,0,0,1,1,1,1,1
12,"angry",1,1,0,0,0,1,1,0,0
12,"bitchy",0,1,1,1,1,0,1,0,0
12,"dreamy",0,1,1,1,0,0,0,0,1
12,"emotional",0,0,1,1,0,0,1,1,1
12,"encouraged",0,0,1,0,0,0,1,1,0
12,"excited",1,0,0,0,0,1,1,1,1
12,"furious",0,0,0,0,0,0,0,0,0
12,"jumpy",1,0,0,0,1,0,1,1,0
12,"playful",1,0,0,0,0,1,1,1,0
12,"powerful",1,0,1,0,1,0,1,1,1
12,"relaxed",1,1,0,1,0,1,0,0,0
12,"repetitive",0,0,0,0,0,0,1,0,0
12,"serene",0,0,0,1,0,0,0,0,0
12,"sexual",0,1,0,0,0,0,0,1,0
12,"smooth",1,1,0,0,0,0,1,0,0
12,"stylish",0,1,1,0,1,0,1,0,1
13,"dancing",0,1,0,0,0,0,0,0,0
13,"elegant",0,1,0,0,0,0,0,0,0
13,"energetic",0,1,0,0,0,0,0,0,0
13,"excited",0,0,0,0,1,0,0,0,0
13,"in_love",0,0,0,0,0,0,0,0,1
13,"intense",0,0,0,0,0,0,0,1,0
13,"interested",0,0,0,0,1,0,0,0,0
13,"light_hearted",0,0,0,0,0,0,0,1,0
13,"moody",0,1,0,0,0,0,0,0,0
13,"motivational",0,0,0,0,0,0,0,0,1
13,"reflective",0,0,0,0,0,1,0,0,0
13,"religious",0,0,0,1,0,0,0,0,0
13,"sad",0,0,0,0,1,0,0,0,0
13,"sensual",0,0,0,0,1,0,0,0,0
13,"soft",0,1,0,0,0,0,0,0,0
13,"stimulated",0,0,0,0,0,0,1,0,0
14,"delighted",0,0,0,0,0,0,1,0,0
14,"hot",0,0,0,1,0,0,0,0,0
15,"powerful",0,0,0,0,0,0,0,1,0
15,"severe",0,0,0,0,0,0,0,0,0
16,"angry",0,0,0,0,0,0,0,1,0
16,"bored",0,0,0,0,0,0,0,1,0
16,"delighted",0,0,0,0,0,0,0,0,1
16,"epic",0,1,0,0,0,0,0,0,0
16,"glorious",0,0,0,1,0,0,0,0,0
16,"intense",0,0,0,0,0,0,1,0,0
16,"liberated",0,0,0,0,0,0,1,0,0
16,"melancholic",0,1,0,0,0,0,0,0,0
16,"nocturnal",0,0,0,0,0,0,0,0,1
16,"repetitive",0,0,0,0,0,0,1,0,0
16,"sad",0,0,1,0,0,0,0,0,0
16,"spiritual",0,1,0,0,0,0,0,0,0
16,"tragic",0,1,0,0,0,0,0,0,0
16,"uplifting",1,0,0,0,0,0,0,0,0
17,"aggressive",0,1,1,0,1,0,0,1,0
17,"animated",0,1,1,0,0,0,0,1,0
17,"dreamy",0,1,1,0,0,1,0,0,0
17,"driving",1,0,0,0,0,0,0,1,0
17,"energetic",1,0,1,0,1,0,1,1,0
17,"euphoric",0,1,0,0,1,1,0,0,0
17,"friendly",1,1,1,1,1,0,1,0,1
17,"fun",1,1,1,0,1,1,1,1,0
17,"funny",1,1,1,0,0,0,1,0,0
17,"good",1,1,1,0,0,1,1,1,1
17,"happy",0,1,1,0,0,0,1,1,0
17,"hot",0,1,1,0,1,0,0,1,0
17,"intense",1,0,1,0,1,0,1,1,0
17,"interested",0,1,0,1,1,1,0,0,1
17,"joyful",1,1,1,0,1,1,1,1,1
17,"jumpy",0,0,0,1,0,0,0,0,0
17,"positive",1,1,0,0,1,1,1,1,1
17,"pulsating",1,0,1,0,0,0,1,1,0
17,"severe",0,0,0,0,1,0,1,1,0
17,"soft",0,1,0,1,0,0,0,0,1
17,"spiritual",0,1,0,1,1,1,0,0,1
17,"stylish",1,1,1,1,0,0,0,0,0
17,"tragic",0,1,0,1,0,1,0,0,0
17,"tranquil",0,1,0,1,0,0,0,0,0
18,"dancing",0,0,1,0,0,0,0,0,0
18,"passionate",1,0,1,0,1,1,0,1,0
19,"emotional",0,0,0,0,0,0,0,0,0
20,"encouraged",0,0,0,0,0,0,0,1,0
20,"good",0,0,1,0,1,1,0,1,1
20,"nocturnal",0,0,1,0,1,1,1,0,1
20,"powerful",0,0,1,0,0,0,0,1,0
21,"reflective",0,1,0,1,1,1,1,0,0
22,"angry",0,0,0,1,0,0,0,1,0
22,"bored",1,0,1,1,0,0,0,0,0
22,"driving",0,0,0,1,0,0,1,1,0
22,"easy",1,0,0,1,0,0,0,1,0
22,"encouraged",0,0,1,1,0,0,1,0,0
22,"epic",0,1,1,1,0,0,0,0,0
22,"festive",1,0,0,1,0,0,0,1,0
22,"friendly",1,0,1,0,0,0,0,1,0
22,"funny",0,1,1,1,0,0,0,0,0
22,"furious",0,1,0,0,0,0,0,1,0
22,"glorious",0,1,1,0,0,0,0,0,0
22,"good",0,1,1,1,0,0,0,0,0
22,"graceful",0,1,0,1,0,0,0,0,0
22,"intense",0,0,0,1,0,0,0,1,1
22,"melancholic",1,0,0,1,0,0,0,1,0
22,"nocturnal",0,0,0,1,1,0,0,0,0
22,"passionate",0,0,1,0,0,0,1,0,0
22,"smooth",0,1,0,0,0,0,1,0,0
22,"stylish",1,0,0,1,0,0,0,0,0
22,"uplifting",1,0,0,1,0,0,0,1,0
23,"retro",0,0,0,0,0,0,0,0,1
24,"aggressive",0,0,0,0,0,0,0,1,0
24,"dramatic",0,0,0,0,0,0,0,0,0
24,"driving",0,0,0,0,0,0,1,0,0
24,"easy",0,0,0,0,0,0,0,0,0
24,"elegant",0,0,0,0,0,0,0,0,1
24,"euphoric",0,0,0,0,0,0,0,0,0
24,"excited",0,0,0,0,0,0,0,1,0
24,"free",0,0,0,0,0,0,0,0,0
24,"fun",0,0,0,0,0,0,0,0,1
24,"funny",0,0,1,0,0,0,0,0,0
24,"graceful",0,0,0,0,0,0,0,0,0
24,"happy",1,0,1,0,0,0,0,0,0
24,"interested",0,0,0,0,0,0,0,0,0
24,"loud",,,,,,,,,
24,"motivational",0,0,0,0,0,0,0,1,0
24,"passionate",0,0,0,0,0,0,0,1,0
24,"sad",0,1,0,0,0,0,0,0,0
24,"sentimental",0,0,0,0,0,0,0,0,0
24,"severe",0,0,0,0,0,0,0,0,0
24,"sexual",0,1,0,0,0,0,0,0,0
24,"sexy",0,1,0,0,0,0,0,0,0
24,"slow",0,0,0,1,0,0,0,0,0
24,"spontaneous",0,0,0,0,0,0,0,0,0
25,"adorable",0,0,0,0,1,0,0,0,0
25,"aggressive",0,0,1,0,1,0,0,0,0
25,"amazed",0,0,0,0,1,0,0,0,0
25,"angry",,,,,,,,,
25,"animated",0,1,0,0,1,0,0,0,0
25,"bitchy",,,,,,,,,
25,"bored",0,1,0,0,0,0,0,0,0
25,"celebratory",0,0,0,0,1,0,0,0,0
25,"cool",0,0,0,0,1,0,0,0,0
25,"dancing",0,1,1,0,1,0,0,1,1
25,"deep",0,0,0,1,0,0,0,0,0
25,"delighted",,,,,,,,,
25,"dramatic",0,0,0,0,0,0,1,0,0
25,"dreamy",0,0,0,1,0,0,0,0,0
25,"driving",0,1,0,0,0,0,0,1,0
25,"easy",1,1,1,0,0,0,0,0,0
25,"elegant",0,0,0,1,0,0,0,0,0
25,"emotional",0,0,0,0,1,0,0,0,0
25,"encouraged",0,0,1,0,0,0,0,0,0
25,"energetic",0,0,0,0,0,1,0,0,0
25,"enthusiastic",0,0,1,0,1,0,0,1,0
25,"epic",0,1,0,0,0,0,0,0,0
25,"euphoric",0,0,0,1,1,0,0,1,0
25,"excited",0,0,0,0,0,0,0,0,1
25,"fantastic",,,,,,,,,
25,"fast",0,0,0,1,0,0,0,0,0
25,"festive",,,,,,,,,
25,"free",,,,,,,,,
25,"friendly",0,1,0,0,0,0,0,0,1
25,"fun",0,0,0,0,0,0,0,0,0
25,"funny",0,0,0,0,0,0,0,0,1
25,"furious",0,0,1,0,0,0,0,0,0
25,"gentle",0,1,0,0,0,0,0,1,0
25,"glorious",0,0,0,0,0,0,0,1,0
25,"good",0,0,1,0,1,0,0,0,1
25,"graceful",0,1,0,0,1,0,0,0,0
25,"happy",0,0,0,0,1,0,0,0,0
25,"heroic",0,0,0,0,0,0,1,0,0
25,"hot",0,0,0,0,0,0,0,0,1
25,"in_love",0,0,0,0,1,1,0,0,1
25,"inspired",0,1,0,0,0,1,0,0,1
25,"intense",,,,,,,,,
25,"interested",0,0,1,0,0,0,0,0,0
25,"joyful",,,,,,,,,
25,"jumpy",,,,,,,,,
25,"liberated",0,0,0,0,0,0,0,1,0
25,"light_hearted",0,0,0,0,1,0,0,0,0
25,"liked",0,0,0,0,0,0,0,0,1
25,"loud",0,0,1,0,0,0,0,0,0
25,"melancholic",0,1,0,0,0,0,0,1,0
25,"moody",0,1,0,0,0,0,0,0,0
25,"motivational",0,0,0,1,0,0,0,0,0
25,"nocturnal",0,0,1,0,1,0,0,0,0
25,"passionate",0,1,0,0,1,0,1,1,1
25,"peaceful",0,0,0,0,0,0,0,1,0
25,"playful",1,0,0,0,0,0,0,0,0
25,"pleasant",0,0,0,0,1,0,0,0,0
25,"positive",0,0,0,0,1,0,0,0,0
25,"powerful",1,1,0,0,0,0,1,1,1
25,"pulsating",0,1,0,0,0,0,0,0,0
25,"reflective",0,1,0,0,0,0,0,1,0
25,"relaxed",0,0,1,0,1,1,0,0,0
25,"religious",0,0,1,0,0,0,0,0,0
25,"repetitive",,,,,,,,,
25,"retro",0,0,0,0,0,0,0,1,0
25,"rhythmical",,,,,,,,,
25,"romantic",0,1,0,0,0,0,0,0,0
25,"sad",0,1,0,0,0,0,0,0,0
25,"satisfied",0,0,1,0,0,0,0,0,0
25,"sensual",0,1,0,0,0,0,0,0,0
25,"sentimental",0,0,0,0,0,1,0,0,0
25,"serene",0,0,0,0,0,0,0,0,0
25,"severe",0,1,0,0,0,0,0,0,0
25,"sexual",0,1,0,0,0,0,0,0,0
25,"sexy",0,1,0,0,0,1,0,0,0
25,"slow",0,0,0,0,0,0,0,1,0
25,"smooth",0,0,0,0,0,0,0,0,0
25,"soft",0,0,0,0,0,0,0,0,1
25,"sorry",0,1,0,0,1,0,0,0,0
25,"spiritual",,,,,,,,,
25,"spontaneous",0,1,0,0,0,0,0,1,0
25,"stimulated",1,0,1,1,1,0,1,1,0
25,"strong",0,0,1,0,0,0,0,0,0
25,"stylish",0,0,0,0,0,1,0,0,0
25,"successful",0,0,0,0,0,1,0,0,0
25,"tragic",0,1,0,0,1,0,0,0,0
25,"tranquil",0,0,1,0,1,0,0,0,0
25,"uplifting",0,1,0,0,0,1,0,0,0
26,"adorable",1,0,1,0,0,0,1,0,0
26,"aggressive",0,0,1,1,0,0,1,0,0
26,"angry",0,1,0,0,0,0,0,1,1
26,"bored",1,1,0,0,0,0,1,1,1
26,"celebratory",0,0,1,1,0,0,1,0,0
