"userid","expertise","language_skill","gender","age","country","continent"
5,"4 Serious amateur musician","4 Professional working proficiency","male",32,"GB","Europe"
6,"1 Nonmusician","4 Professional working proficiency","female",27,"PT","Europe"
7,"2 Music-loving nonmusician","4 Professional working proficiency","male",20,"SK","Europe"
8,"2 Music-loving nonmusician","3 Limited working proficiency","male",28,"IN","Asia"
10,"1 Nonmusician","1 No proficiency","male",24,"AL","Europe"
11,"1 Nonmusician","3 Limited working proficiency","female",28,"HR","Europe"
12,"1 Nonmusician","4 Professional working proficiency","male",25,"IT","Europe"
13,"2 Music-loving nonmusician","3 Limited working proficiency","male",16,"PK","Asia"
14,"2 Music-loving nonmusician","4 Professional working proficiency","male",26,"PH","Asia"
15,"1 Nonmusician","2 Elementary proficiency","male",23,"PK","Asia"
16,"1 Nonmusician","1 No proficiency","male",37,"RO","Europe"
17,"2 Music-loving nonmusician","2 Elementary proficiency","female",48,"RU","Europe"
18,"2 Music-loving nonmusician","4 Professional working proficiency","male",23,"BD","Asia"
19,"1 Nonmusician","2 Elementary proficiency","male",18,"PK","Asia"
20,"2 Music-loving nonmusician","2 Elementary proficiency","male",25,"BA","Europe"
21,"2 Music-loving nonmusician","2 Elementary proficiency","male",25,"GE","Asia"
22,"2 Music-loving nonmusician","2 Elementary proficiency","male",34,"TR","Asia"
23,"3 Amateur musician","4 Professional working proficiency","male",26,"FR","Europe"
24,"2 Music-loving nonmusician","1 No proficiency","male",22,"GR","Europe"
25,"2 Music-loving nonmusician","1 No proficiency","male",28,"US","North America"
26,"2 Music-loving nonmusician","4 Professional working proficiency","male",34,"IN","Asia"
27,"2 Music-loving nonmusician","3 Limited working proficiency","male",30,"BA","Europe"
28,"1 Nonmusician","3 Limited working proficiency","male",28,"IN","Asia"
29,"2 Music-loving nonmusician","3 Limited working proficiency","male",29,"IN","Asia"
30,"2 Music-loving nonmusician","5 Full professional proficiency","male",28,"PH","Asia"
31,"1 Nonmusician","4 Professional working proficiency","female",26,"HR","Europe"
32,"2 Music-loving nonmusician","5 Full professional proficiency","male",32,"IN","Asia"
34,"2 Music-loving nonmusician","5 Full professional proficiency","female",42,"HR","Europe"
35,"1 Nonmusician","2 Elementary proficiency","female",32,"BG","Europe"
36,"2 Music-loving nonmusician","3 Limited working proficiency","male",29,"RO","Europe"
37,"1 Nonmusician","1 No proficiency","male",26,"VE","South America"
38,"4 Serious amateur musician","3 Limited working proficiency","male",22,"BD","Asia"
39,"2 Music-loving nonmusician","4 Professional working proficiency","male",23,"MA","Africa"
40,"3 Amateur musician","4 Professional working proficiency","female",27,"BA","Europe"
41,"3 Amateur musician","2 Elementary proficiency","male",,"VN","Asia"
42,"2 Music-loving nonmusician","3 Limited working proficiency","male",26,"BR","South America"
43,"1 Nonmusician","3 Limited working proficiency","male",31,"MX","North America"
44,"4 Serious amateur musician","2 Elementary proficiency","female",24,"BR","South America"
45,"1 Nonmusician","6 Native or bilingual proficiency","male",24,"PH","Asia"
46,"4 Serious amateur musician","3 Limited working proficiency","male",26,"TR","Asia"
47,"2 Music-loving nonmusician","3 Limited working proficiency","male",32,"IN","Asia"
49,"2 Music-loving nonmusician","4 Professional working proficiency","female",25,"TR","Asia"
50,"2 Music-loving nonmusician","5 Full professional proficiency","male",35,"MK","Europe"
